Time,Average Speed,avespeed1_10,avespeed11_20,avespeed1_5,avespeed6_15,avespeed16_20,F(λ_1),F(λ_2),F(λ_3),F(λ_4),F(λ_5),F(λ_6),F(λ_7),F(λ_8),F(λ_9),F(λ_10),F(λ_11),F(λ_12),F(λ_13),F(λ_14),F(λ_15),F(λ_16),F(λ_17),F(λ_18),F(λ_19),F(λ_20)
62.0,79.24,87.8,75.67,85.5,78.91,77.0,267.6415263292289,45.45654555186478,29.59257247299415,-41.81515824143847,-28.969176536654622,-9.106819796979387,12.76618647784915,55.87058227762663,-78.00320346648122,-115.32429750756476,-40.15302564534751,-26.663394341871207,11.234430210080628,27.946028898313173,36.66344895739003,57.9362043310455,-20.71594077315071,-54.08745244611593,-34.70256473187952,44.64943300704226
63.0,77.78,86.0,73.67,81.0,80.0,73.0,183.41416317131217,25.58017337169605,-63.415368727646126,-46.407859545931586,-59.98800898506881,-55.53122013172637,-53.282467675664236,77.88947607494084,-108.59677390345517,67.75417020872212,-42.1871157281515,-48.47735906990994,-49.39713305441924,25.854648174174535,43.876943193963754,5.015017907297139,10.906764968310867,-0.4604736477128917,-7.511372570204859,57.62353003960591
64.0,73.65,78.14,70.5,81.5,72.22,73.17,257.5826395242428,19.138497798647727,-24.63474953334398,-22.18670679656351,-92.02050095464386,-44.64274229185332,4.77163040800469,-18.18748169684321,32.15606978316625,-13.367146290568375,-62.46061110964777,-12.305306238995701,-67.5739905302317,31.018174093002226,42.6551742835661,79.2942109646999,-53.28932379060896,-50.482969468634266,-57.01728680818819,-3.373222374312416
65.0,81.0,86.67,78.17,82.0,84.4,75.0,191.1307997359575,33.78655021394715,8.527294603248224,-62.52000162597863,-75.97786122070397,21.843444876225895,23.63789600719906,83.83113696618153,-53.983075560133,-64.68224506492074,-55.144264592877995,-45.78304881580006,-53.806136091959075,19.955305030055605,37.99808496854693,-52.56083438532597,-94.10050786496078,-29.429086440616036,-53.43214789278186,52.849936498188825
66.0,75.11,77.43,73.64,83.67,72.89,74.17,283.0756187795267,24.402236442648825,-65.46108646912877,-69.45970810629046,-43.66693328605743,-22.74952804934136,-74.49471405865239,65.90120705171975,-75.50321245948324,-1.388991313216696,50.52422498604958,9.520547093345506,-23.11058969904297,26.25780219664455,41.923113499672084,22.160492673394106,-36.37431808918018,-27.981151707103493,-41.2262841551443,19.50115670000398
67.0,75.33,83.75,68.6,82.0,73.5,73.33,161.2165025771685,-46.67894766327393,-46.53126573931092,-41.97414160914606,-82.64826196286555,-32.34619772288193,-68.35071000913565,-12.932700628057374,-3.384728555690611,-70.88521733574653,-31.97726908332791,-38.78626173221103,-103.86268353842937,44.09824053814033,14.055618515925392,-4.703750034657945,-76.6763915482259,-7.873726761495284,-18.63430308056907,-75.80139996467021
68.0,76.67,82.43,71.62,82.0,75.14,74.0,252.61421641326706,-30.093474161778772,-48.990412827011724,-16.466520150485348,-15.173934181216604,-26.025269676547754,51.01808324264776,-33.184245705788854,-105.38641739007878,-44.44464978078591,-39.02284893359571,7.578648341153274,-53.2904820619397,-0.6447667608058154,65.6095341644329,80.48327048714272,-38.853109587075124,-53.31959212128712,-33.4928908157682,55.19975942819691
69.0,74.86,82.0,72.0,79.0,76.67,71.67,134.56887196286516,-11.182128429358734,-44.56709812895434,-20.527167262204696,6.67840270771671,-26.803257416083902,-20.68411510120823,108.33850694838068,-22.12748388615629,-44.661871500698545,-31.479907339075616,-93.4107796208368,-16.980927885030248,47.808566897520926,73.0807643912553,-49.994075193866806,-14.92736122443379,-47.38397384856863,-77.7976382969263,56.567522446873895
70.0,74.44,74.71,74.22,77.5,74.73,71.33,267.5628032950507,-2.0402487358951227,25.026706352595962,-31.183575487451428,-29.502069227863313,-88.64036573945276,-100.3294648019409,45.60152479779217,-64.26486286226393,-33.88917184093022,-14.078114640846508,-51.70058151741407,16.38012882626188,63.68088801327532,7.187259165006779,62.59097730746328,-13.592978345982399,-15.523818652341783,-15.55751845039989,-3.606594139952957
71.0,79.4,80.75,78.5,76.0,80.43,77.5,207.15053958980738,12.057939169304856,34.34571489230336,-100.9472711290471,-73.9127222823656,-25.08231481899385,-40.149239107408874,25.04121006310899,-12.26551543031922,-4.467203961299161,-20.488970785068148,-16.387159492420537,-86.51170364214249,-29.242744720911148,52.861453574453435,3.872771038728702,-101.95712042739731,-94.14394433172896,-35.866008428243234,34.18853902049614
