Time,Average Speed,Frambda1,Frambda2,Frambda3,Frambda4,Frambda5,Frambda6,Frambda7,Frambda8,Frambda9,Frambda10,Frambda11,Frambda12,Frambda13,Frambda14,Frambda15,Frambda16,Frambda17,Frambda18,Frambda19,Frambda20,,
82,74.4,279.2371509,15.08067649,41.0271348,15.59027381,0.782821533,4.897283967,0.556256322,51.19798012,7.487673775,32.13887548,41.09543965,13.46070253,53.95985289,23.17925201,12.5507014,5.719105364,0.021488582,43.02902101,41.18104907,44.63428763,0.648943346,
83,69.1,155.2337508,8.23560989,8.917546391,14.19330584,18.74055717,31.74644247,13.13232409,40.71249959,39.43353346,58.80762964,14.13850032,43.97503093,31.8504997,18.36695701,6.993298036,99.10216009,43.55788833,8.268487841,38.30460323,15.29015312,0.814814067,
84,69.58,280.031954,32.17829123,12.90114015,18.09755983,23.87272495,8.41980538,44.49085001,5.715897279,15.97155322,37.95175247,22.69348272,3.004410383,13.79575714,38.98946071,26.73313804,32.47885175,19.21282347,19.94955935,6.604677517,27.46944712,0.501761245,
85,66.91,165.4902645,28.23667585,1.822393783,17.9278662,8.13411469,12.98992182,17.46888896,42.59687771,21.65518174,34.99401516,61.334368,16.03213877,10.07927819,52.22070818,57.44798747,13.94354737,38.06033457,0.842478089,9.166327604,78.14924488,0.762125237,
86,71.83,255.3500818,13.42974821,42.88206028,7.464147367,38.61898797,13.97155803,24.58010545,20.68400113,41.74127794,44.7779392,25.29519968,2.755773114,36.54713039,37.41211849,63.74652106,0.581577845,9.527694638,30.41433017,38.53033531,7.496771536,0.755907088,
87,70.9,162.6557553,39.75876374,3.945532975,9.610376,2.828283446,7.181383106,25.63508604,49.54207537,7.596339663,0.905500486,43.25492241,53.83765295,35.80054057,79.97850643,4.381867062,14.67822185,0.926194716,12.23515303,71.52937312,37.39476462,0.737405512,
88,71.2,271.5042103,22.70877669,5.896938786,52.10981503,20.93283504,1.881379845,5.327858119,8.606327671,9.518504555,5.205943914,43.83024719,7.606545207,17.18006851,58.92574546,30.00766497,17.69271744,47.47115772,40.12223807,27.99646802,12.71766782,0.526517764,
89,69,158.2968564,40.1952758,5.226176474,22.86907749,11.90693279,6.144321263,21.00038009,9.247642364,7.084631481,61.58064236,26.8753146,8.527948085,5.319190269,44.52584412,62.63674404,29.6677468,60.07363186,63.51356102,0.173373287,38.54184329,0.670173588,
90,68.35,259.3336477,13.80935684,0.527070739,3.150519481,19.54421754,7.200322249,41.22155177,4.777070741,30.66540684,13.04545789,3.56279209,21.84249486,12.25153729,52.3798495,63.12530105,21.1516892,38.61756533,42.22959142,17.00905023,13.67667029,0.644682714,
91,68.64,164.2048412,6.737224186,23.80114157,4.151782087,34.34573318,52.59224386,33.19690355,16.44949775,31.37856059,31.51307546,73.48917154,27.5586962,35.19202264,83.00085521,29.47813076,36.95581604,40.30477337,6.905543402,14.31524358,10.54637039,0.668094093,
