Time,Average Speed,avespeed1_10,avespeed11_20,avespeed1_5,avespeed6_15,avespeed16_20,F(λ_1),F(λ_2),F(λ_3)
140.0,72.62,77.14,69.11,77.75,71.89,68.0,244.9743248669142,0.18325180240280048,-42.96685574644265
141.0,72.09,77.89,68.08,78.0,73.17,66.0,284.912922666375,-22.268689877881013,-22.886580800231023
142.0,72.12,75.5,69.11,77.4,72.14,66.8,262.8130865175157,-19.20911348360014,-75.69791015343199
143.0,71.06,74.11,67.62,78.33,70.67,67.4,233.38940965388943,-41.885480505159634,-46.11441568301058
144.0,72.61,76.27,69.25,77.14,71.9,68.5,298.1987751248841,-47.72833465178033,-81.74462943195935
145.0,71.12,76.29,67.11,76.67,73.14,66.0,245.95918211513535,-37.88153625663608,-25.256486441458158
146.0,72.42,75.89,69.3,76.0,73.55,65.75,267.8296025301247,-29.146636970303547,7.955291036969122
147.0,73.87,76.75,70.57,76.33,75.0,64.5,233.7051211116043,-40.69100972733209,8.56637066870087
148.0,72.63,73.11,72.2,77.33,71.9,71.5,265.7330720978692,-2.3291301817649206,-37.463545308222635
149.0,72.22,73.44,71.0,76.5,71.36,69.67,216.92714240651117,-42.27747467000543,19.720357888072172
150.0,72.86,74.4,71.45,76.8,73.4,68.67,269.0236154062343,-4.297844914669872,-28.708967070316227
151.0,74.0,77.67,70.33,78.14,71.67,71.0,240.6519901035707,-51.09535321807174,-96.88305934901776
152.0,73.11,77.67,71.0,78.67,72.25,71.5,251.0898266472422,21.213381837132793,-5.620025692723008
153.0,72.47,74.25,70.89,78.0,70.75,72.0,248.0958933854871,-32.368017116835745,-88.01167932354488
154.0,73.05,77.7,67.89,78.33,69.89,72.25,248.75630779144743,-55.51160088375509,-80.90321384475165
155.0,71.32,74.67,68.3,77.67,71.3,68.17,244.9512674240393,-6.685971237484374,-38.20491953280009
156.0,71.22,76.0,66.44,75.6,69.44,69.75,264.63408633015075,-48.3973121236805,-38.6560748779838
157.0,70.69,75.0,68.0,71.0,71.38,69.25,192.52162019750926,12.488394037888337,-45.36499842817822
158.0,71.6,74.38,68.58,77.43,70.46,66.4,282.8048635126806,-79.52982047126184,-42.507643084962204
159.0,69.29,75.4,65.89,78.0,67.44,71.25,197.6725248355983,-7.584862576205978,-27.158411620141422
160.0,68.4,74.4,62.4,74.83,66.5,63.5,252.5776522330693,-58.631001888423995,-47.830645709878844
161.0,68.64,70.25,66.7,74.83,66.73,65.4,283.50463943573084,-22.57238911328406,-68.94227362093109
162.0,69.81,72.69,65.12,75.62,67.75,63.8,247.57859898955095,-116.83523186529355,-72.61088957213329
163.0,67.88,73.12,63.22,76.0,68.9,62.6,237.80001815696198,-45.19860191476899,12.667661819498255
164.0,68.0,74.29,63.11,75.33,68.75,62.4,243.31472715440196,-64.31492946697495,-23.660086392865622
165.0,67.75,72.33,63.17,75.83,66.42,62.33,269.56594526092806,-60.14113457719254,-15.228531794125686
166.0,67.14,70.83,64.38,76.0,66.82,64.5,173.1047812054645,-16.636867926446683,-36.385490431723944
167.0,68.88,74.15,62.64,76.57,67.8,62.71,255.7894725072577,-48.155224428387434,-85.09582312554899
168.0,70.17,76.75,64.9,79.5,68.9,64.0,232.72224187926832,-39.34617064455579,-98.74103271678445
169.0,69.4,77.29,62.5,79.0,68.29,61.75,241.83447425824212,-25.826907519984204,-64.75660463387861
170.0,69.3,74.2,64.4,79.5,69.09,61.6,258.63748842209515,-29.31643516318896,-51.912922980019836
171.0,68.72,75.18,63.64,78.5,69.77,62.12,256.4383581917811,4.240087239874006,-41.84484068620843
172.0,71.05,76.82,63.12,78.86,69.0,61.5,247.69272750904724,-96.03367476235853,-51.51350923502961
173.0,70.78,77.55,64.58,79.8,71.55,63.14,280.32542730997034,-35.66540839542859,-49.21227800409684
174.0,71.18,77.38,65.67,80.0,71.0,62.75,214.52247320620722,-38.7809179876121,-27.850883438855462
175.0,69.6,74.46,64.33,80.0,69.38,62.0,264.8873788279018,-70.30306522957372,-21.210941819391245
176.0,68.95,74.67,63.8,78.0,67.67,62.2,215.2079230709279,-43.82006865952093,-62.77322815617239
177.0,69.18,75.44,64.85,78.33,71.25,61.71,276.12874978756065,5.547390098800976,-22.80117257458827
178.0,69.85,76.89,64.09,77.8,70.22,62.67,260.1368427293611,-14.328198363371161,-59.37432428142686
179.0,67.05,71.11,64.23,78.0,67.15,63.71,252.36454057341322,18.650056155577715,-37.32104868031974
180.0,68.53,72.67,63.88,78.5,67.22,61.5,258.6259597006577,-37.16746593062189,-49.39355823700593
181.0,67.14,75.88,62.14,79.0,64.4,62.57,267.6960332256525,-6.301501468652338,-61.08396220192682
182.0,71.31,79.43,65.0,79.83,67.8,64.6,232.90834006428022,-51.31657889572522,-112.33933474977859
183.0,72.45,75.85,66.14,80.33,70.36,64.33,236.48396469781693,-74.79672348349001,0.9789243972439952
184.0,70.09,76.8,64.5,80.67,71.08,63.86,270.2840032740762,-36.17572260305197,-13.483881799514492
185.0,71.53,77.5,64.89,81.25,71.27,62.5,237.69823767990954,-84.70958419045793,-27.230171172051694
186.0,70.0,74.6,66.17,81.0,68.92,64.83,255.23759194701026,-40.207471795104105,-58.07463592386358
187.0,69.56,73.71,66.33,82.0,69.5,63.5,215.05327433946533,16.55840695513563,-28.822741770815085
188.0,70.96,78.91,64.23,81.5,70.71,64.5,302.38194590997085,-49.59975705515662,-14.4314121191282
189.0,70.6,77.33,66.11,82.0,71.12,65.2,203.8763003556558,-14.504039492308202,0.700323495861987
190.0,70.24,78.12,65.38,79.2,68.91,64.2,232.7067571260605,-37.12268224814751,-35.75877875947363
191.0,69.71,77.14,64.5,75.0,70.11,65.8,220.03042883498603,-31.697135067406123,-44.02061212854652
192.0,70.5,78.14,66.38,76.2,72.5,64.14,270.56035321470307,-46.31619857714972,-74.5981714896019
193.0,70.46,78.0,65.75,77.33,71.83,63.25,220.5083617138323,-46.95094556464059,-103.00484537520454
194.0,68.23,74.89,63.62,78.0,69.08,62.57,260.3316722989191,-15.850138089788896,-63.097784969541856
195.0,70.0,75.38,65.22,77.6,68.62,63.25,263.6778811985866,-22.22285888362025,-58.74214383231184
196.0,69.57,75.56,65.08,78.0,70.1,64.0,282.2211941250134,-17.372401737229254,-60.36913115944636
197.0,68.79,74.0,64.88,77.5,68.62,64.75,218.25076855532402,-30.40428357912492,-26.768179182535114
198.0,69.54,76.27,63.85,78.4,70.08,62.29,280.93972683018023,-78.30170494187804,-38.76097620736731
199.0,71.0,75.57,67.8,79.33,70.89,66.2,255.85468880411196,-34.52765025121107,-57.052409410988595
200.0,70.71,78.1,64.0,79.67,69.7,62.0,267.1747827979466,-73.18685273435176,-66.79477058572702
201.0,69.73,77.83,64.33,80.0,70.89,62.0,213.9388038185397,1.2449500386201375,-39.41406994747996
202.0,72.62,79.64,64.9,79.86,73.78,60.4,292.2454947656866,-53.946204122644744,-48.26951245531225
203.0,72.2,75.73,67.89,78.75,73.08,63.0,257.72937619216503,-45.29027597445846,-16.001681898718502
204.0,69.86,78.2,62.27,78.6,69.1,63.83,272.7729901823399,-72.11168375503826,-88.46572977295828
205.0,69.71,74.86,66.1,77.5,70.27,64.25,233.89797266527842,-17.77501639737215,-45.47842202757742
206.0,71.26,78.5,65.69,79.33,70.64,64.33,306.42117736402685,-41.60504065189906,-78.7337314392763
207.0,70.29,77.17,65.12,79.0,69.88,66.75,204.6277858382374,-16.474505610848077,-56.21854437467482
208.0,68.56,75.17,62.46,78.14,63.42,67.67,299.116438060366,-55.412046689297874,-44.150527904258794
209.0,70.45,76.18,64.73,80.6,67.67,67.0,277.98993043829086,-52.40426739220781,-61.03520439754512
210.0,69.7,75.4,64.0,79.2,68.1,63.4,262.2274391139614,-55.282506684946895,-12.12881367658162
211.0,67.81,76.5,62.6,83.0,67.0,63.2,246.00611632189182,-31.660503712262567,-35.153545879528025
212.0,70.13,77.82,63.08,80.8,69.07,60.5,272.4648514142918,-70.10266101657722,-28.77804876747703
213.0,68.11,77.5,61.27,79.6,66.67,59.2,230.80901229513245,-48.686904604769886,-74.03849021880653
214.0,67.35,73.82,61.42,78.67,69.42,60.0,257.32621031572637,-36.113594940123576,-38.46191391182064
215.0,67.47,74.0,61.67,78.25,67.0,59.6,244.1986232465788,-35.78223961969556,-61.38017379004895
216.0,67.0,75.1,61.21,80.67,66.93,61.29,272.99367453166496,-15.278651386015207,-55.198405933375895
217.0,71.61,78.78,64.44,80.5,72.9,59.5,289.85235428681983,-49.36242753117136,-31.09258653892807
218.0,69.45,79.62,62.67,80.75,69.7,61.5,284.0497666273164,-30.251866410241533,-63.741980443178605
219.0,70.88,78.62,63.12,80.75,71.38,60.0,236.89668127980937,-42.95879930846241,-92.13587740725679
220.0,68.86,74.78,64.77,80.25,68.58,61.83,265.23767644993103,-14.263581801929083,-87.07806328762202
221.0,70.22,76.25,65.4,78.67,72.6,60.4,244.33021453516645,-46.1080276375809,-40.34111459007573
222.0,72.14,78.64,65.64,79.33,73.5,62.67,262.619076268963,-79.42911642409847,-51.896855139138495
223.0,72.63,77.11,68.6,82.33,72.36,67.4,278.46506598024536,-53.503774525581036,-28.75749303783612
224.0,70.29,79.0,64.92,77.5,73.78,62.75,273.6310314947503,-32.15266050902914,-41.8602494825419
225.0,72.74,75.6,69.56,77.8,73.3,65.0,312.9167875779189,-47.99251613280748,-85.05006487335785
226.0,70.9,77.14,67.79,76.67,72.36,66.14,293.8915857408758,-16.72306935489128,-66.7044868890977
227.0,70.75,75.57,67.0,76.25,72.12,62.5,256.37396121593235,-30.820879014074148,-74.50922038280478
228.0,71.1,72.89,69.64,76.2,69.44,69.33,271.9905351933438,-37.23173917279341,-68.58469865123867
229.0,71.0,74.75,67.67,76.5,71.0,66.6,273.8095569900944,-51.34354770060406,-64.11950268742801
230.0,71.32,76.5,67.55,77.0,71.3,66.8,267.2880919964364,-75.97434890919426,-69.63079038121955
231.0,72.13,75.5,68.45,76.67,71.9,68.57,310.39798985811785,-100.59185862344563,-68.18967356208803
232.0,72.18,76.71,69.0,77.5,73.14,67.5,296.8067959684533,-49.97379758352733,-74.48903448294881
233.0,72.94,77.25,69.11,77.25,73.44,67.5,296.70024013862434,-57.700093078963526,-63.533868743250125
234.0,71.41,72.0,70.56,76.83,70.0,67.5,315.88486605990636,-89.99446790772296,-45.54816274754472
235.0,71.0,74.0,68.67,76.33,70.12,69.2,290.46665380703126,-25.48762427633513,-63.594876845533996
236.0,71.36,74.33,67.8,75.5,69.58,70.5,306.565116695058,-83.17209048266415,-32.43274478701035
237.0,71.0,73.67,69.4,76.5,69.89,70.8,248.00564162987203,-37.482086072537605,-30.75193105832591
238.0,73.81,76.62,71.0,78.86,71.46,73.0,317.2967659484487,-77.90131063908632,-75.94493793904456
239.0,69.81,72.38,67.25,80.0,67.18,72.67,257.39142661258063,-59.929010916800564,-10.910439816432927
240.0,69.44,75.88,64.3,79.0,67.67,67.0,277.16927262708407,-68.14886871943044,-41.8859074410377
241.0,69.94,77.2,66.92,79.0,67.0,69.33,255.97557069226974,-33.391513640022595,-75.96691088630585
242.0,69.0,74.71,64.56,78.75,66.5,64.25,267.3628589988439,-54.812613158001305,-82.18949988166356
243.0,69.2,72.7,65.7,78.5,66.82,67.0,261.13800405179586,-61.68060769902975,-34.60848268353444
244.0,68.88,75.73,63.08,78.8,65.31,68.33,253.74860766630277,-84.7229130280829,-40.415353043256985
245.0,67.0,73.71,62.3,77.33,65.0,64.25,218.580806071368,-48.38204959137503,-70.0589234827961
246.0,67.06,76.0,61.36,77.25,65.75,62.0,249.78134587776407,-67.19078788740694,-85.58010767632018
247.0,65.3,69.4,61.2,77.5,62.09,62.6,263.38406848886694,-76.22497748924803,-67.40598450890201
248.0,66.67,73.4,60.55,78.2,63.9,61.67,293.2081138920399,-65.67514462442053,-88.74517929581222
249.0,66.25,75.71,58.89,77.75,63.75,59.75,261.548742617903,-38.517818195606914,-80.84903729541396
250.0,67.22,75.44,59.0,78.25,66.62,60.67,262.0354068812949,-56.11241014030165,-81.82656019557123
251.0,68.12,76.25,60.0,78.25,67.88,58.5,248.37701867888975,-64.46998928197664,-94.88109057129391
252.0,68.32,76.44,61.0,78.6,67.44,59.6,282.42557440012393,-53.31085229788007,-68.51853626092883
253.0,67.4,73.7,61.1,79.33,66.92,60.0,252.92597183921217,-43.24622311043322,-52.202960483891275
254.0,67.61,77.38,59.8,79.2,65.71,60.17,253.22258188582282,-69.07420119460426,-111.64593982467326
255.0,63.71,69.43,59.7,79.0,63.58,60.25,226.43660661426955,-25.84141678427292,-41.01835569731986
