Time,Average Speed,Lambda Index No.1,Lambda Index No.2,Lambda Index No.3,Lambda Index No.4,Lambda Index No.5,Lambda Index No.6,Lambda Index No.7,Lambda Index No.8,Lambda Index No.9,Lambda Index No.10,Lambda Index No.11,Lambda Index No.12,Lambda Index No.13,Lambda Index No.14,Lambda Index No.15,Lambda Index No.16,Lambda Index No.17,Lambda Index No.18,Lambda Index No.19,Lambda Index No.20,F(λ) No.1,F(λ) No.2,F(λ) No.3,F(λ) No.4,F(λ) No.5,F(λ) No.6,F(λ) No.7,F(λ) No.8,F(λ) No.9,F(λ) No.10,F(λ) No.11,F(λ) No.12,F(λ) No.13,F(λ) No.14,F(λ) No.15,F(λ) No.16,F(λ) No.17,F(λ) No.18,F(λ) No.19,F(λ) No.20
(266+0j),(79.29+0j),(127.32573229816117+0j),(-8.818184824212945+0j),(44.206111232409945+0j),(16.43433035402967+0j),(-13.921553090913974+0j),(-11.358549970309289+0j),(-23.145199733062565+0j),(3.7332370997273383+0j),(64.99990304713941+0j),(18.19323542903006+0j),(81.0852844135804+0j),(-13.810379507890882+0j),(-2.2186232995097726+0j),(5.806774599887399+0j),(-2.690537983845341+0j),(-36.896829515055664+0j),(6.946239410187879+0j),(-64.82153189277369+0j),(-70.60981123610307+0j),(-52.07737158861758+0j)
(267+0j),(77.44+0j),(273.5900313356485+0j),(-8.34991970618199+0j),(58.848229866101796+0j),(27.877357408643913+0j),(18.74699662489527+0j),(47.107814896482964+0j),(-52.342421849777054+0j),(-22.620987547101187+0j),(-61.372751261555685+0j),(13.983776877555856+0j),(-57.447841145871216+0j),(-36.498010024156805+0j),(-31.654660782504408+0j),(30.236222918083442+0j),(17.259460444830367+0j),(32.88451080885946+0j),(-10.25117740204861+0j),(-8.635811269233105+0j),(-6.880361608726528+0j),(5.237200361934349+0j)
(268+0j),(76.33+0j),(152.0314812116727+0j),(0.5117821454557401+0j),(4.652462222140045+0j),(-70.69940430691962+0j),(-0.9346236777565551+0j),(-58.32957984355697+0j),(12.058216079295782+0j),(56.066058954708005+0j),(-84.06583299141647+0j),(-24.237862783427648+0j),(-8.057371411089445+0j),(50.94786197958716+0j),(-13.106544732976072+0j),(27.61073365798161+0j),(-20.128229589782087+0j),(3.3318274989748566+0j),(-59.303712613862125+0j),(9.006755820412494+0j),(55.23736269755605+0j),(1.5347597925841416+0j)
(269+0j),(77.22+0j),(250.521981386654+0j),(31.784562983730787+0j),(-14.200033792433334+0j),(-56.85792447492682+0j),(17.812252979804423+0j),(-7.433733779207678+0j),(-10.2196745662771+0j),(13.821370985373662+0j),(72.6264212855252+0j),(74.8644540371119+0j),(46.607081097539094+0j),(-40.02481116398567+0j),(-17.924304471868552+0j),(-1.2229347110606152+0j),(-29.061246633433985+0j),(7.1261557328098455+0j),(19.660678008415147+0j),(18.68981577344069+0j),(33.72212470065553+0j),(1.8353258709644962+0j)
(270+0j),(77.45+0j),(185.31586403401+0j),(40.51263705039101+0j),(-34.30077433762899+0j),(-14.634859949732075+0j),(-13.439686635363865+0j),(58.24236874830929+0j),(-11.183047451577524+0j),(-29.725334849212814+0j),(12.285968287814836+0j),(-52.42948915031971+0j),(-95.95595725308311+0j),(-34.0303554091237+0j),(-1.2510208842755368+0j),(43.641751018460276+0j),(25.223291444115773+0j),(42.1799476887501+0j),(41.318022317230316+0j),(7.275534594327333+0j),(-70.3089787164281+0j),(-19.954393493962662+0j)
(271+0j),(76.53+0j),(277.43838925191625+0j),(-15.093221859492644+0j),(-25.817027982153498+0j),(-4.413026562144399+0j),(34.53505775530387+0j),(24.761701154282893+0j),(16.463889181216384+0j),(-41.442368856260174+0j),(-44.829347653509245+0j),(18.83532450285931+0j),(14.664408424355141+0j),(76.55970691718844+0j),(-26.543686293032493+0j),(-1.9995713941101627+0j),(-13.792368807910911+0j),(-8.814595680597732+0j),(19.777358015711442+0j),(38.005892639856114+0j),(32.856285234697395+0j),(41.90831229590559+0j)
(272+0j),(77.3+0j),(171.55965138632163+0j),(4.664004909608046+0j),(-4.784901337295677+0j),(-31.73050770221201+0j),(28.5324605396587+0j),(9.048967595797722+0j),(28.969485598609452+0j),(20.616639148330517+0j),(27.105094317730163+0j),(-39.76869570810714+0j),(-22.188036689354693+0j),(-131.48042338109943+0j),(-48.943285343641435+0j),(-44.383470706235784+0j),(39.155633073890336+0j),(-3.0221951243205876+0j),(-22.085717790670692+0j),(-33.745613842069154+0j),(-13.571127920125022+0j),(-12.431767177869006+0j)
(273+0j),(73.18+0j),(272.3872870749946+0j),(16.942730227042777+0j),(-65.08724514374543+0j),(-13.163070500608534+0j),(18.716857823280613+0j),(-3.372865451128643+0j),(-55.12504794567781+0j),(13.93605852905716+0j),(-25.082353275948257+0j),(-25.581215810444167+0j),(-15.9275856528105+0j),(41.57984510904532+0j),(52.432435440505294+0j),(-2.3296323909116268+0j),(26.404562082855154+0j),(-17.11581869909074+0j),(19.1308724272755+0j),(4.202832667195313+0j),(-50.04059138646005+0j),(36.935933153160434+0j)
(274+0j),(66.67+0j),(132.47547824137234+0j),(-4.773023086836417+0j),(-24.64857861548984+0j),(22.00293909938696+0j),(32.875863946393665+0j),(2.922469020546499+0j),(-41.20525461392887+0j),(-63.165057352003565+0j),(41.16567131806204+0j),(59.61632408718849+0j),(62.530702945893715+0j),(-43.61105912816376+0j),(-34.15808242084165+0j),(-9.176187901385651+0j),(33.235418253749756+0j),(-27.01447371917871+0j),(-37.455527383193925+0j),(18.76731339481482+0j),(-40.01267724405599+0j),(-19.144105709315085+0j)
(275+0j),(73.05+0j),(267.26059857465896+0j),(73.39322533237609+0j),(40.67253422669741+0j),(27.01943053172969+0j),(24.692183667493968+0j),(22.257880920345087+0j),(39.237810649969845+0j),(-35.73591120992825+0j),(-10.092152130009783+0j),(-34.15225781746044+0j),(-27.595489870813864+0j),(-17.592794426964346+0j),(-9.134406131433844+0j),(-21.16710696035176+0j),(-2.0605888381776154+0j),(17.961345606042492+0j),(-32.66954051972943+0j),(13.79665483650943+0j),(20.1460372006943+0j),(-25.456415075086067+0j)
(276+0j),(67+0j),(148.46738529957267+0j),(42.507310529783766+0j),(-18.640266180292528+0j),(24.389931392373587+0j),(10.15537377135583+0j),(3.0097886607953104+0j),(-60.761770600708495+0j),(66.6470397725775+0j),(21.38596073049937+0j),(-75.8741226163962+0j),(29.154296370099935+0j),(23.393306521835672+0j),(-24.931074938900096+0j),(26.404330183101298+0j),(31.07892995484419+0j),(56.944107249777275+0j),(1.9353542521559+0j),(-2.849597921413338+0j),(7.7662926829116685+0j),(48.9009567997483+0j)
(277+0j),(71.05+0j),(252.59033964938655+0j),(33.05345361322737+0j),(-3.695954094457292+0j),(-35.408379638986546+0j),(-58.02646477494056+0j),(-32.73547132568952+0j),(-92.08131584883648+0j),(-16.39198650501718+0j),(12.28323811827994+0j),(30.863181101001135+0j),(4.711459179664153+0j),(-13.318671643017332+0j),(23.334531643094184+0j),(15.26418452304367+0j),(-3.9874330909275493+0j),(0.32562384393167676+0j),(1.1053889941220767+0j),(12.171699152218885+0j),(-55.18354134750072+0j),(2.780821602097884+0j)
(278+0j),(68.71+0j),(110.34896799174057+0j),(23.154251921970573+0j),(0.504452688781015+0j),(-11.379376181760918+0j),(-24.018062480153024+0j),(-45.17427618658491+0j),(-31.505023852852997+0j),(-29.246938400247675+0j),(-16.668284264054144+0j),(5.6982228420213605+0j),(-1.5722120982219319+0j),(4.402798850039+0j),(-9.176548784377097+0j),(-4.177197944247194+0j),(-79.0141065354641+0j),(15.410709950936646+0j),(55.321576566279234+0j),(-47.761452349006454+0j),(26.128499253032928+0j),(-75.01894497567362+0j)
(279+0j),(70.06+0j),(232.1051450221666+0j),(3.7295294462114903+0j),(-60.41029965814769+0j),(-63.5031021388546+0j),(-8.078730965031259+0j),(-44.36114957046239+0j),(38.051892256382615+0j),(-61.0147234995502+0j),(-13.24866427675408+0j),(-49.531107384566184+0j),(-18.092539025704323+0j),(25.046185154643812+0j),(-32.35722918631+0j),(-7.360939058237182+0j),(24.572602626443082+0j),(-29.196986306802646+0j),(-18.221847097348856+0j),(27.566398103285334+0j),(-43.29987396689242+0j),(1.2421057777437046+0j)
(280+0j),(67.82+0j),(171.14413746743952+0j),(-1.5897559037594782+0j),(-61.033408086844744+0j),(18.069779124132072+0j),(-0.37793336051938553+0j),(-18.312388038895488+0j),(36.07138646071481+0j),(-6.203680010833672+0j),(-8.428185635968184+0j),(-62.05876903580064+0j),(37.985264454567734+0j),(30.649102051889095+0j),(81.09105047126157+0j),(-20.67207717088835+0j),(-12.076265179295392+0j),(-45.53712198883566+0j),(-9.753945616225824+0j),(-11.917648618158315+0j),(33.386686297269264+0j),(38.54184329025436+0j)
(281+0j),(69.77+0j),(260.888667585815+0j),(1.4965574577160048+0j),(-47.8437817652576+0j),(55.46851843310556+0j),(21.775801380825907+0j),(13.961659265643359+0j),(-8.801901754996704+0j),(0.36147484760703463+0j),(27.833573991501787+0j),(-4.795541761080795+0j),(-25.404028672963335+0j),(4.890701058872718+0j),(-36.783661588545+0j),(-13.51055696524609+0j),(18.87795147011489+0j),(72.10308772780655+0j),(-8.691609344666194+0j),(0.30507603170835296+0j),(-52.18606397199188+0j),(20.580221735610774+0j)
