Time,Average Speed,Frambda1,Frambda2,Frambda3,Frambda4,Frambda5,Frambda6,Frambda7,Frambda8,Frambda9,Frambda10,Frambda11,Frambda12,Frambda13,Frambda14,Frambda15,Frambda16,Frambda17,Frambda18,Frambda19,Frambda20,
60,62.18,156.920362,23.35327347,9.725045624,7.348119453,1.947975876,12.64534833,10.4532673,22.94359291,39.32159331,1.465060951,46.79361196,33.35312555,6.813912521,4.417423475,32.40103098,30.82648098,18.10256896,8.858884666,77.77254685,82.13083273,1.160884374
61,63.89,256.3695252,44.35547634,20.05562316,17.2410244,35.76524339,25.86177322,16.64120362,4.877801039,19.89206232,14.316615,22.95489089,30.67537643,1.463677709,2.940738806,30.72100906,47.62448474,24.43843976,1.822930427,40.13196942,33.9515506,1.520153776
62,59.55,147.2435616,2.886647421,0.801393767,37.94993104,21.31321727,9.860981928,7.096248871,6.857199249,21.00760641,12.81516744,22.38012742,0.584663422,33.91036735,1.811785216,24.38297426,96.99845386,71.93059063,15.11328894,2.817695307,29.40655347,1.277105826
63,62.21,241.5843185,1.250923058,67.19908295,26.03632401,11.98283881,3.238439502,3.130972968,20.65376683,36.11001308,36.07714618,29.12872535,24.83209436,3.179620081,19.16883813,35.11223101,22.17131092,22.04710587,5.669891011,3.15271142,16.29806781,1.614342947
64,56.22,113.1278116,24.45886675,27.93527947,36.80894228,25.5549475,37.3404567,0.874522668,1.083443477,24.09332113,28.28544494,47.2817324,2.114095722,15.75886655,4.858173579,53.94788759,60.14523614,33.95216298,47.45490919,1.543409863,9.890731336,0.877993825
65,61.55,231.4860701,7.821052895,54.42913727,1.911672993,34.79748157,59.7112709,59.83341661,50.90499288,33.0481715,2.743762642,7.721707712,5.486355514,3.431625907,2.536594292,22.75317029,9.497975654,3.575125693,14.04235648,14.73754143,12.30692926,1.579304751
66,56.55,139.807231,37.99127515,24.96445288,19.50413788,20.4365138,18.94331064,7.209297576,52.4877477,0.254516801,41.92665947,28.86143662,30.64561154,30.27518608,25.4160921,48.84601127,6.502107937,50.76909197,43.54066244,3.003575877,8.854164528,0.915093706
67,59.16,213.8047546,8.129393298,47.93430554,13.5908937,21.00730695,8.869399493,38.03696434,24.40862953,1.750546838,33.10716495,71.0707872,62.91091788,38.0965388,4.865803041,8.501778822,7.595518021,18.76149201,12.9435195,10.12276514,3.237675054,1.414856291
68,60.75,104.2390609,26.27016085,16.63895364,29.46106195,18.48104492,27.04761177,24.94917797,36.1538127,64.77471688,47.28261633,1.231440536,53.6052775,9.078031588,14.35047703,18.76211132,26.36130597,57.18680858,10.27665593,49.42988931,15.02055655,0.728302201
69,63.35,234.6922957,23.41353781,53.15066031,9.668833066,35.86883813,43.54375769,13.00542424,23.35788795,56.49020587,41.0687821,34.03968413,2.992626137,9.118599538,20.86407504,14.49964326,14.6521733,15.58277943,24.4861934,24.17155426,4.358898944,1.37879816
70,61,146.4793887,2.611705907,11.33862239,52.1718943,22.96626746,16.05434208,9.895064434,25.2390895,5.524890386,38.60002453,102.4413157,20.72748808,12.95534456,14.04081265,65.02514123,9.47496707,25.40298459,1.270006419,33.04835012,12.99599578,1.128488769
71,61.89,219.6121176,31.14043619,34.82156048,27.9779681,0.642459907,0.668016731,23.09634693,29.99448746,60.59328793,29.40240586,43.53883137,50.08899917,21.19172676,10.73207641,32.8120584,28.90396715,25.4972007,12.07670989,22.39684487,36.08348651,1.194041941
72,61.25,109.7931314,2.807932406,6.622787934,0.239009348,20.45756083,27.7564161,52.83805785,25.21823281,6.625770898,43.85859477,22.35961267,2.448295173,48.11814203,52.59425707,24.95429549,20.14542907,33.11957143,67.61642748,0.635011255,33.16827629,0.87968733
