Time,Average Speed,F(λ_1),F(λ_2),F(λ_3),F(λ_4),F(λ_5),F(λ_6),F(λ_7),F(λ_8),F(λ_9),F(λ_10),F(λ_11),F(λ_12),F(λ_13),F(λ_14),F(λ_15),F(λ_16),F(λ_17),F(λ_18),F(λ_19),F(λ_20),Time,Average Speed,,
70,72.75,133.5199571,-4.675894383,43.00047091,16.91588304,13.62512929,-50.44752021,-32.77388817,-42.19314055,42.3117643,22.53751887,78.61063979,-46.64306865,21.94386719,-32.87658693,15.63270492,11.68216992,-6.100033501,24.55650831,-50.57237779,36.24768595,70,72.75,36.02336764,60.78183231
71,74,242.4797433,0.789144844,4.773151629,-15.66886421,-52.63111687,-21.57090022,28.39393032,-23.83524668,-36.55410457,3.212150536,-106.0530903,-31.15418481,-31.74386898,1.8283159,-13.28647934,-21.09525621,-12.44745866,4.344332694,44.05607651,16.10323824,71,74,31.47414783,-262.5402302
72,76.71,241.2185361,11.52713042,1.598108011,54.87053179,-27.35008582,-55.11779362,-40.87039013,-43.51288287,-47.48103833,38.52757615,72.66035481,22.12982207,37.4812549,-19.76540285,-24.37458186,15.95021103,-2.285043169,28.52648402,-15.37808883,-28.32073506,72,76.71,35.89604694,-21.18456934
73,75.13,248.5395795,21.5324831,-42.84440155,9.247120801,1.436991473,33.0504758,9.14285007,27.25036911,33.74178693,68.17723699,-35.4602686,-58.54370102,-38.50686441,18.93393041,-6.605699291,-10.30184446,-46.86103223,-10.26949893,-36.24871022,54.03555736,73,75.13,35.01783418,-9.093218667
74,75,172.0618004,30.73698829,-28.10620885,-37.08453649,44.47361978,-11.12736815,9.521308515,-11.04218925,-18.65385814,7.675129512,-26.16440287,8.842646627,42.99724966,-3.558690038,58.0112965,35.36532057,70.97031742,-7.153831465,84.63933683,-40.83600063,74,75,36.04134216,209.5061278
75,75.43,299.4583437,-41.04096733,-27.16587744,13.6655827,0.672952552,-4.102800277,-50.16974965,-44.94499306,-28.08307784,-19.32723393,6.639899922,-4.539042997,-6.205600835,17.66489133,-25.93144597,21.83556608,-25.56445187,37.34925512,-24.30063291,0.743912793,75,75.43,23.35650009,-202.8038136
76,75,201.7033643,9.007208791,-22.80128607,28.031712,-14.4873132,-45.3851258,-4.13529634,-10.54362591,-49.67319707,60.6303997,12.98901192,93.97666171,55.75261462,12.69246815,40.63873356,-38.66531203,32.77194672,-21.09408007,18.10715716,9.81794235,76,75,36.85591016,167.6306202
77,75.06,247.9069979,-20.55072673,5.540712687,24.17680844,-8.267071931,-26.405924,36.66327356,-24.46786579,31.2790026,-12.79889957,-20.22786238,1.999269666,-95.50494313,0.535122501,-5.370385633,12.09789055,-31.05173092,16.62632297,-86.31971495,20.5014987,77,75.06,34.00886391,-181.5452234
78,75.67,156.2321148,-11.78487018,-5.38443625,38.60339045,-10.41783989,16.66848641,-8.02604173,27.05479099,-34.41742031,-34.18760035,5.668223023,-42.98104319,85.17646547,-7.670338644,-43.09307322,-58.82721081,-9.241401927,-47.45202683,44.02216619,-58.9598436,78,75.67,37.12565898,-155.2496244
79,78.77,331.710935,10.99574402,-8.611042144,-11.98230229,-28.75781743,-31.1065835,-28.504444,1.048439445,6.310409138,23.51381751,15.80877712,12.3031193,-13.99751321,20.71786401,33.59658025,24.1012271,-21.25096171,3.578015446,11.5190054,-17.55368033,79,78.77,19.44046011,1.728654125
80,75.6,168.2643327,-20.97628061,-13.84965282,-3.197516297,-38.00374155,4.269619166,-13.78759411,-33.53905217,23.00731625,2.699226545,-6.599453335,-23.99786787,41.63994684,-71.98851697,-55.68960418,-48.47750077,-67.37150764,77.81602985,-29.56167642,32.24501868,80,75.6,37.19262821,-245.3628074
